classname,post-release-bugs,pre-release-bugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
org::apache::lucene::index::TermVectorsWriter,0,6,14,3,0,8,340,126,24.2857,425,310,30.3571,241.714,115.235,13,1,1,12,6,0,5,0,163,4,9,4,0,1,2,43,27,7.52307,0.123177,0.0284878,0.226735,0.069843
org::apache::lucene::index::TermsHash,0,2,3,1,1,1,11,10,3.66667,22,19,7.33333,11.7143,2.46753,8,2,2,7,45,0,10,1,166,10,15,4,0,6,5,52,29,1.54522,0.0107276,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::TermsHashConsumer,0,2,2,0,1,1,1,1,0.5,3,2,1.5,11.7143,0,2,1,2,0,21,2,1,0,3,7,9,0,0,1,0,7,1,1.15014,0.000683682,0.0207298,0.0671158,0.072263
org::apache::lucene::index::TermsHashConsumerPerField,0,2,2,0,1,1,2,1,1,1,1,0.5,11.7143,1.28571,1,1,1,0,15,2,0,0,0,6,9,0,0,0,0,6,0,1.54522,0.000601081,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::TermsHashConsumerPerThread,0,1,1,0,1,1,1,1,1,1,1,1,11.7143,0,2,1,2,0,6,2,0,0,0,4,9,0,0,0,2,4,0,0.792859,0.00051848,0.0122672,0.0424562,0.0457934
org::apache::lucene::index::TermsHashPerField,0,2,2,0,1,1,4,3,2,3,2,1.5,11.7143,1.92857,15,2,6,10,136,0,22,0,388,17,13,7,2,15,6,60,84,1.54522,0.00172271,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::TermsHashPerThread,0,1,2,1,1,1,8,7,4,3,2,1.5,11.7143,2.375,11,2,5,8,28,0,10,0,75,8,13,0,1,10,4,28,17,1.54522,0.00310807,0.0273145,0.0891453,0.0962259
org::apache::lucene::index::memory::AnalyzerUtil,0,2,20,0,0,4,651,335,32.55,582,335,29.1,148.571,41.2012,10,1,0,10,55,0,2,0,237,11,9,2,3,0,8,63,32,8.26847,0.408332,0.0926648,0.376457,0.208128
org::apache::lucene::index::memory::MemoryIndex,1,6,36,2,0,9,1239,886,34.4167,1043,886,28.9722,179.286,65.7761,11,1,4,9,45,0,8,0,226,10,18,8,4,0,6,84,33,16.8263,0.59608,0.118878,0.612866,0.263269
org::apache::lucene::index::memory::PatternAnalyzer,0,2,12,3,0,7,430,387,35.8333,407,387,33.9167,179.286,59.8618,7,2,1,6,28,0,8,0,88,8,15,4,4,0,4,36,33,12.0175,0.215343,0.0990119,0.467422,0.211415
org::apache::lucene::index::memory::SynonymMap,0,1,7,0,0,3,328,313,46.8571,324,313,46.2857,148.571,27.6943,9,1,1,8,36,0,3,0,270,9,9,3,5,0,3,100,59,7.62066,0.141883,0.0632699,0.303907,0.110328
org::apache::lucene::index::memory::SynonymTokenFilter,0,2,5,0,0,4,128,100,25.6,125,100,25,148.571,46.856,3,3,0,3,6,0,7,1,56,4,16,6,1,0,2,17,14,6.53653,0.0619658,0.090004,0.335068,0.207675
org::apache::lucene::misc::ChainedFilter,0,0,5,1,0,2,5,1,1,5,1,1,285.143,41.4286,7,2,1,6,21,0,8,0,101,7,21,3,4,1,2,44,22,0,0,0,0,0
org::apache::lucene::misc::HighFreqTerms,0,0,3,1,0,2,3,1,1,3,1,1,307.429,40.4286,8,1,0,8,1,0,1,0,40,2,9,0,1,0,1,26,9,0,0,0,0,0
org::apache::lucene::misc::IndexMergeTool,0,2,5,0,0,3,24,15,4.8,56,53,11.2,146,6.02381,3,1,0,3,0,0,0,0,22,1,9,0,0,0,1,11,3,4.01101,0.254921,0.0603641,0.223297,0.126469
org::apache::lucene::misc::LengthNormModifier,0,2,6,0,0,4,132,123,22,136,123,22.6667,123.857,28.4307,12,1,1,11,3,0,2,0,77,3,9,2,0,0,3,42,15,4.43735,0.117002,0.0379541,0.172472,0.103124
org::apache::lucene::misc::SweetSpotSimilarity,0,1,3,0,0,3,11,6,3.66667,10,5,3.33333,123.857,31.013,6,3,1,5,36,0,13,1,94,9,41,13,0,0,9,36,18,3.87029,0.0169838,0.00802606,0.0996214,0.00430382
org::apache::lucene::queryParser::FastCharStream,0,0,4,1,0,4,22,13,5.5,59,51,14.75,361.857,150.474,3,1,1,2,91,0,6,0,75,14,21,0,1,6,13,24,19,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::queryParser::MultiFieldQueryParser,0,6,29,5,0,8,702,192,24.2069,556,202,19.1724,345.714,176.561,9,2,4,5,28,0,2,56,73,8,68,0,1,0,2,41,24,16.8048,1.12431,0.0825282,0.536249,0.13606
org::apache::lucene::queryParser::ParseException,0,3,4,1,0,3,8,6,2,12,6,3,264.857,220.839,8,1,5,3,3,0,5,0,90,3,27,0,0,3,2,29,24,4.00726,0.00804122,0.0892333,0.283052,0.220501
org::apache::lucene::queryParser::QueryParser,1,18,57,11,0,12,1332,116,23.3684,605,123,10.614,264.857,142.483,73,1,46,27,2628,5,42,38,1009,73,9,24,14,16,42,345,290,23.6331,0.865223,0.13696,0.797407,0.298367
org::apache::lucene::queryParser::QueryParserTokenManager,0,9,15,2,0,8,1045,154,69.6667,900,181,60,264.857,177.82,3,1,1,2,496,0,19,38,1040,32,9,2,26,7,5,184,334,10.2371,0.598752,0.108996,0.456687,0.266352
org::apache::lucene::queryParser::Token,0,1,2,0,0,2,56,55,28,13,12,6.5,264.857,257.041,0,1,0,0,6,0,8,0,13,4,9,0,0,8,4,5,4,1.23854,0.0331713,0.0519223,0.145898,0.106899
org::apache::lucene::queryParser::TokenMgrError,0,3,4,1,0,3,21,18,5.25,14,11,3.5,264.857,247.061,5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,4.00726,0.0164289,0.0892333,0.283052,0.220501
org::apache::lucene::queryParser::analyzing::AnalyzingQueryParser,0,3,6,0,0,6,53,35,8.83333,42,28,7,164.857,132.941,9,2,1,8,10,0,0,56,209,5,68,0,0,0,1,95,33,7.34144,0.0485354,0.0965588,0.36946,0.227756
org::apache::lucene::queryParser::precedence::FastCharStream,0,0,1,0,0,1,1,1,1,1,1,1,187.286,0,3,1,1,2,91,0,6,0,75,14,21,0,1,6,13,24,19,1.31187,0.00868421,0.00138824,0.0288405,1.14E-05
org::apache::lucene::queryParser::precedence::ParseException,0,0,1,0,0,1,1,1,1,1,1,1,187.286,0,5,1,2,3,3,0,5,0,87,3,27,0,0,3,2,23,24,1.31187,0.00868421,0.00138824,0.0288405,1.14E-05
org::apache::lucene::queryParser::precedence::PrecedenceQueryParser,0,0,7,1,0,1,7,1,1,7,1,1,187.286,0.979592,24,1,1,23,1081,1,37,36,822,47,9,24,10,11,30,284,244,2.52248,0.0552345,0.00271246,0.0556502,2.58E-05
org::apache::lucene::queryParser::precedence::PrecedenceQueryParserTokenManager,0,0,1,0,0,1,1,1,1,1,1,1,187.286,0,4,1,1,3,496,0,19,36,947,32,9,2,26,7,5,167,301,1.31187,0.00868421,0.00138824,0.0288405,1.14E-05
org::apache::lucene::queryParser::precedence::Token,0,0,1,0,0,1,1,1,1,1,1,1,187.286,0,2,1,2,0,3,0,8,0,9,3,9,0,0,8,3,4,2,1.31187,0.00868421,0.00138824,0.0288405,1.14E-05
org::apache::lucene::queryParser::precedence::TokenMgrError,0,0,1,0,0,1,1,1,1,1,1,1,187.286,0,5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,1.31187,0.00868421,0.00138824,0.0288405,1.14E-05
org::apache::lucene::queryParser::surround::parser::FastCharStream,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,3,1,1,2,91,0,6,0,75,14,19,0,1,6,13,24,19,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::parser::ParseException,0,0,1,0,0,1,1,1,1,1,1,1,170.143,0,5,1,2,3,3,0,5,0,87,3,27,0,0,3,2,23,24,1.03163,0.0042698,0.00120501,0.023183,2.18E-05
org::apache::lucene::queryParser::surround::parser::QueryParser,0,0,1,0,0,1,1,1,1,1,1,1,170.143,0,20,1,2,18,903,0,31,26,583,43,9,17,9,14,22,221,174,1.03163,0.0042698,0.00120501,0.023183,2.18E-05
org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager,0,0,1,0,0,1,1,1,1,1,1,1,170.143,0,4,1,1,3,190,0,19,26,604,20,9,2,14,7,5,103,217,1.03163,0.0042698,0.00120501,0.023183,2.18E-05
org::apache::lucene::queryParser::surround::parser::Token,0,0,1,0,0,1,1,1,1,1,1,1,170.143,0,2,1,2,0,3,0,8,0,9,3,9,0,0,8,3,4,2,1.03163,0.0042698,0.00120501,0.023183,2.18E-05
org::apache::lucene::queryParser::surround::parser::TokenMgrError,0,0,1,0,0,1,1,1,1,1,1,1,170.143,0,5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,1.03163,0.0042698,0.00120501,0.023183,2.18E-05
org::apache::lucene::queryParser::surround::query::AndQuery,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,3,3,1,2,1,0,0,1,7,2,45,0,0,0,2,4,2,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::BasicQueryFactory,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,4,1,1,3,15,0,2,0,18,6,9,2,1,0,5,12,7,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::BooleanQueryTst,0,2,2,0,0,2,20,18,10,2,2,1,151.143,73.4143,7,1,2,5,3,0,7,0,32,3,9,0,0,7,3,12,4,2.74289,0.0336228,0.00562364,0.0699285,0.004366
org::apache::lucene::queryParser::surround::query::ComposedQuery,0,1,3,0,0,3,8,6,2.66667,7,5,2.33333,170.143,73.4286,9,2,5,4,105,4,3,1,73,15,30,3,0,0,9,64,24,3.9126,0.0091715,0.0563791,0.210955,0.108084
org::apache::lucene::queryParser::surround::query::DistanceQuery,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,8,3,1,7,21,0,2,1,68,7,47,2,0,0,7,36,13,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::ExceptionQueryTst,0,2,2,0,0,2,21,18,10.5,3,3,1.5,151.143,69.9184,6,1,2,4,3,0,2,0,34,3,9,2,0,0,3,14,7,2.74289,0.0376558,0.00562364,0.0699285,0.004366
org::apache::lucene::queryParser::surround::query::FieldsQuery,0,1,3,0,0,3,10,6,3.33333,9,5,3,170.143,91.8857,5,2,0,5,28,0,4,1,48,8,30,4,0,0,7,40,11,3.9126,0.0111519,0.0563791,0.210955,0.108084
org::apache::lucene::queryParser::surround::query::NotQuery,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,3,3,1,2,1,0,0,1,12,2,45,0,0,0,2,9,2,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::OrQuery,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,6,3,2,4,6,0,0,1,29,4,47,0,0,0,4,15,8,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::SimpleTerm,0,1,3,0,0,3,13,6,4.33333,10,5,3.33333,170.143,108.923,9,2,3,6,66,3,1,1,56,12,32,1,0,0,10,31,14,3.9126,0.0131323,0.0563791,0.210955,0.108084
org::apache::lucene::queryParser::surround::query::SpanNearClauseFactory,0,0,3,1,0,2,7,6,2.33333,19,13,6.33333,170.143,60.2449,8,1,2,6,55,0,4,0,50,11,9,4,0,0,10,39,16,3.99248,0.0387692,0.0064383,0.096463,0.0013732
org::apache::lucene::queryParser::surround::query::SrndBooleanQuery,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,4,1,3,1,1,0,0,0,13,2,9,0,0,0,2,12,4,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::SrndPrefixQuery,0,0,3,0,0,3,7,6,2.33333,8,5,2.66667,170.143,60.2449,7,3,1,6,21,0,2,1,35,7,44,2,0,0,6,25,12,4.06683,0.0122143,0.00627614,0.0971617,0.00125813
org::apache::lucene::queryParser::surround::query::SrndQuery,0,0,3,0,0,3,9,6,3,14,8,4.66667,170.143,51.0794,11,1,8,3,66,3,3,0,30,12,18,2,0,0,11,25,12,4.06683,0.0283464,0.00627614,0.0971617,0.00125813
org::apache::lucene::queryParser::surround::query::SrndTermQuery,0,0,3,0,0,3,9,6,3,12,6,4,170.143,51.0794,7,3,1,6,10,0,1,1,25,5,44,1,0,0,5,19,8,4.06683,0.0243134,0.00627614,0.0971617,0.00125813
org::apache::lucene::queryParser::surround::query::SrndTruncQuery,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,10,3,1,9,21,0,5,1,63,7,44,5,0,0,4,40,19,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::queryParser::surround::query::TooManyBasicQueries,0,0,2,0,0,2,7,6,3.5,6,5,3,170.143,60.2449,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,2.67407,0.00818132,0.00445684,0.0650567,0.00118519
org::apache::lucene::search::BooleanClause,0,1,19,4,0,8,234,102,12.3158,194,62,10.2105,368.143,159.803,18,1,16,3,45,0,2,0,37,10,18,2,0,0,10,17,14,10.3086,0.203041,0.0163136,0.246981,0.0054889
org::apache::lucene::search::BooleanFilter,0,3,7,1,0,3,266,167,38,187,180,26.7143,132.286,95.7089,10,2,2,8,45,0,4,0,129,10,21,1,3,3,6,76,42,8.77244,0.172816,0.0807921,0.371672,0.177843
org::apache::lucene::search::BooleanQuery,0,10,56,15,0,9,758,98,13.5357,465,73,8.30357,368.143,166.469,36,2,30,8,210,1,5,0,149,21,39,4,0,0,20,94,46,23.8003,1.10022,0.119711,0.761933,0.242231
org::apache::lucene::search::BooleanScorer,0,1,17,2,0,6,247,66,14.5294,179,51,10.5294,368.143,142.315,9,3,0,9,36,0,10,0,85,9,17,10,1,0,6,27,28,3.67974,0.0141081,0.0083349,0.0970669,0.00526084
org::apache::lucene::search::BooleanScorer2,0,5,11,2,0,7,212,99,19.2727,132,77,12,193.286,67.0849,10,3,1,9,105,0,8,0,147,15,17,8,8,0,7,72,36,12.9419,0.537444,0.027018,0.330283,0.02595
org::apache::lucene::search::BoostingQuery,0,2,4,0,0,3,22,19,5.5,4,1,1,136.571,63.013,2,2,1,1,3,0,3,0,39,3,39,3,0,0,3,8,5,5.06437,0.0329868,0.0117325,0.134047,0.00916186
org::apache::lucene::search::CachingSpanFilter,0,2,2,0,0,2,10,9,5,2,1,1,64,25.5857,3,3,0,3,28,0,2,0,39,8,22,0,1,0,7,19,13,2.35,0.00431126,0.00996333,0.0740046,0.0254293
org::apache::lucene::search::CachingWrapperFilter,1,4,11,0,0,6,69,25,6.27273,69,51,6.27273,264.143,136.253,6,2,4,2,15,2,2,0,54,6,21,0,0,0,6,16,11,6.91215,0.0463653,0.0162734,0.180807,0.0243563
org::apache::lucene::search::CachingWrapperFilterHelper,0,2,3,0,0,2,4,3,1.33333,4,3,1.33333,78.2857,32.0357,5,3,2,3,10,0,1,2,38,5,27,1,0,0,5,12,9,2.46006,0.00289736,0.00959337,0.0751859,0.0230982
org::apache::lucene::search::CheckHits,0,0,3,0,0,2,3,1,1,3,1,1,200.429,44.8571,20,1,12,10,45,0,1,0,214,10,9,0,0,1,10,105,46,1.45008,0.00310247,0.00214814,0.0344245,0.00018773
org::apache::lucene::search::Collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,2,0,25,2,11,2,0,0,2,3,4,0,0,0,0,0
org::apache::lucene::search::ComplexExplanation,0,3,5,2,0,5,11,6,2.2,11,5,2.2,119.286,47.7403,12,2,10,2,10,0,1,0,20,5,29,1,0,0,4,14,8,5.15836,0.0132306,0.0217915,0.158272,0.0603891
org::apache::lucene::search::ConjunctionScorer,0,2,11,2,0,5,174,68,15.8182,203,81,18.4545,246.857,137.312,5,3,1,4,28,0,5,0,78,8,17,5,2,0,6,25,17,6.52069,0.44398,0.0180491,0.177842,0.0343981
org::apache::lucene::search::ConstantScoreQuery,0,8,9,2,0,5,187,158,20.7778,175,158,19.4444,151.143,23.3155,11,2,7,4,28,0,1,0,30,8,39,0,0,0,7,16,12,11.1794,0.312273,0.0749912,0.406381,0.13632
org::apache::lucene::search::ConstantScoreRangeQuery,0,4,6,1,0,3,25,16,4.16667,149,138,24.8333,151.143,111.337,3,4,2,1,3,0,0,2,10,3,63,0,0,0,3,5,3,7.46875,0.133534,0.0637048,0.301838,0.11397
org::apache::lucene::search::DefaultSimilarity,0,0,4,0,0,3,20,13,5,59,51,14.75,308.857,109.871,8,2,6,2,45,3,1,0,32,10,31,0,0,0,10,19,10,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::search::DisjunctionMaxQuery,0,6,9,3,0,5,284,257,31.5556,274,257,30.4444,151,121.497,6,2,2,4,45,0,2,0,81,10,39,2,0,0,9,53,26,9.2521,0.179805,0.0970429,0.410565,0.24155
org::apache::lucene::search::DisjunctionMaxScorer,0,4,7,0,0,5,292,195,41.7143,312,195,44.5714,151,89.7378,3,3,1,2,55,0,4,0,115,11,17,4,4,0,7,64,32,8.939,0.43582,0.0757326,0.359523,0.161567
org::apache::lucene::search::DisjunctionSumScorer,0,3,5,1,0,3,95,85,19,71,62,14.2,193.286,88.7594,5,3,1,4,36,0,8,0,98,9,17,6,1,0,7,41,31,6.61495,0.186243,0.010607,0.159497,0.00226626
org::apache::lucene::search::DocIdSet,0,1,1,0,0,1,1,1,1,1,1,1,35.5714,0,8,1,8,0,1,3,0,0,0,2,9,0,0,0,2,2,0,1.17515,0.000669115,0.00634538,0.0402517,0.0203787
org::apache::lucene::search::DocIdSetIterator,0,1,1,0,0,1,1,1,1,1,1,1,35.5714,0,26,1,26,0,6,4,0,0,0,4,9,0,0,0,4,4,0,1.17515,0.000669115,0.00634538,0.0402517,0.0203787
org::apache::lucene::search::DuplicateFilter,0,2,4,0,0,3,12,7,3,9,6,2.25,53.1429,27.3333,11,2,2,9,78,0,7,0,143,13,21,0,2,3,11,58,36,3.6711,0.00730358,0.047325,0.178239,0.155845
org::apache::lucene::search::ExactPhraseScorer,0,2,10,1,0,7,39,13,3.9,75,51,7.5,368.143,182.044,5,4,2,3,1,0,0,5,28,2,27,0,0,0,0,9,7,2.6029,0.0168352,0.0057418,0.0681672,0.00340696
org::apache::lucene::search::Explanation,0,3,7,4,0,5,49,25,7,67,51,9.57143,299.286,146.085,29,1,28,1,55,1,3,0,63,11,18,3,0,0,9,32,18,4.70913,0.0533872,0.0118167,0.126392,0.0158854
org::apache::lucene::search::ExtendedFieldCacheImpl,0,3,4,0,1,2,80,59,20,15,11,3.75,49,16.5536,3,2,1,2,6,0,5,13,9,4,35,2,0,3,3,9,3,4.85875,0.0677033,0.105557,3.41697,0.21549
org::apache::lucene::search::FieldCacheImpl,1,9,21,4,1,9,481,121,22.9048,349,122,16.619,229,117.646,2,1,0,2,28,1,12,2,24,8,17,4,0,8,8,21,8,16.8684,0.867589,0.114725,0.606812,0.244443
org::apache::lucene::search::FieldDoc,0,1,7,0,0,4,30,20,4.28571,19,9,2.71429,242.143,32.4762,0,2,0,0,0,0,1,2,4,1,19,0,0,1,1,1,1,4.24084,0.00884444,0.0566766,0.217954,0.10808
org::apache::lucene::search::FieldDocSortedHitQueue,0,5,14,2,0,6,182,47,13,131,90,9.35714,242.143,81.5392,11,2,1,10,10,0,2,1,123,5,19,0,1,2,0,25,41,8.32875,0.319027,0.0704974,0.33686,0.139153
org::apache::lucene::search::FieldSortedHitQueue,0,10,29,6,1,10,799,257,27.5517,503,286,17.3448,244.714,59.3216,10,2,1,9,153,0,4,1,265,18,19,0,1,0,4,73,33,17.2681,0.399622,0.0912739,0.569637,0.171246
org::apache::lucene::search::Filter,0,1,6,0,0,5,49,26,8.16667,65,51,10.8333,368.143,247.601,18,1,17,1,3,16,0,0,6,3,18,0,0,0,3,5,2,2.81758,0.0142828,0.00959721,0.0821254,0.0215421
org::apache::lucene::search::FilterClause,0,2,3,0,0,3,18,17,6,2,1,0.666667,132.286,59.2302,3,1,3,0,3,0,2,0,10,3,18,0,0,2,3,3,3,3.90708,0.0293379,0.0577081,0.215128,0.11138
org::apache::lucene::search::FilterManager,1,2,3,0,0,2,1,1,0.333333,2,1,0.666667,78.2857,0,7,1,2,5,10,0,7,0,35,5,9,0,0,0,4,19,7,2.52346,0.00138511,0.0551703,0.180832,0.109618
org::apache::lucene::search::FilteredQuery,0,7,16,4,0,8,150,36,9.375,69,36,4.3125,233,116.207,14,2,9,5,36,0,2,0,131,9,39,0,0,2,8,28,15,12.5285,0.14867,0.0762108,0.435486,0.135382
org::apache::lucene::search::FilteredTermEnum,0,0,10,1,0,7,27,13,2.7,65,51,6.5,368.143,162.794,9,2,8,1,36,5,2,0,38,9,15,2,0,0,6,18,14,2.94415,0.00557231,0.00515406,0.0726763,0.00131696
org::apache::lucene::search::FuzzyLikeThisQuery,0,4,8,2,0,4,98,52,12.25,78,47,9.75,136.571,56.8426,18,2,2,16,15,0,7,0,141,6,39,0,1,7,5,68,24,7.57455,0.0765668,0.124305,3.51032,0.243378
org::apache::lucene::search::FuzzyQuery,0,2,17,1,0,8,237,75,13.9412,107,51,6.29412,368.143,170.596,16,3,3,13,36,0,4,2,88,9,49,2,0,0,8,44,21,7.22218,0.0810278,0.0147719,0.182153,0.0183529
org::apache::lucene::search::FuzzyTermEnum,0,0,15,2,0,6,498,201,33.2,366,177,24.4,368.143,161.324,6,3,2,4,66,0,11,0,135,12,24,11,7,0,4,51,36,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::search::Hit,0,3,10,1,0,6,43,13,4.3,36,9,3.6,180.143,43.7076,6,1,2,4,28,0,4,0,39,8,18,4,1,0,6,23,10,7.82654,0.129167,0.0726917,0.32827,0.158735
org::apache::lucene::search::HitCollector,0,0,9,1,0,6,44,13,4.88889,68,51,7.55556,368.143,125.64,18,1,18,0,1,12,0,0,0,2,9,0,0,0,2,2,0,4.31109,0.0151422,0.0104144,0.113686,0.0154823
org::apache::lucene::search::HitIterator,0,2,6,1,0,4,14,6,2.33333,13,6,2.16667,180.143,57.3265,4,1,2,3,10,0,2,0,20,5,9,2,0,0,4,11,6,5.50819,0.0336513,0.0687709,0.271872,0.157142
org::apache::lucene::search::HitQueue,0,0,3,0,0,3,20,13,6.66667,57,51,19,368.143,166.193,1,2,0,1,1,0,0,1,11,2,19,0,0,0,0,3,3,1.64243,0.00391152,0.00325183,0.0418737,0.00116335
org::apache::lucene::search::Hits,0,4,22,4,0,10,403,136,18.3182,315,125,14.3182,368.143,160.563,39,1,31,9,55,0,14,0,141,11,9,13,5,1,5,42,32,9.64939,0.10328,0.030807,0.271163,0.07131
org::apache::lucene::search::IndexSearcher,0,5,36,4,0,11,291,39,8.08333,297,51,8.25,368.143,164.852,65,3,57,8,36,2,2,0,61,9,37,1,1,1,8,30,18,11.5269,0.350981,0.0842299,3.50814,0.113609
org::apache::lucene::search::MatchAllDocsQuery,0,6,10,2,0,6,52,31,5.2,46,27,4.6,163.429,29.2994,13,2,8,5,15,0,0,0,22,6,39,0,0,0,5,15,7,8.8814,0.228413,0.0638157,0.329159,0.108845
org::apache::lucene::search::MockFilter,0,0,3,0,0,2,3,1,1,3,1,1,200.429,44.8571,3,2,1,2,6,0,1,0,10,4,21,1,0,0,4,6,3,1.45008,0.00310247,0.00214814,0.0344245,0.00018773
org::apache::lucene::search::MultiPhraseQuery,1,6,13,3,0,6,96,20,7.38462,51,18,3.92308,208.429,63.8229,21,2,12,10,105,0,4,0,140,15,39,4,3,0,11,75,42,14.6136,0.325199,0.12129,3.6437,0.2146
org::apache::lucene::search::MultiSearcher,1,4,28,4,0,9,387,166,13.8214,210,51,7.5,368.143,140.47,13,3,8,5,78,1,3,0,111,13,37,3,0,0,11,38,25,10.1352,0.344828,0.0170192,0.246347,0.00643703
org::apache::lucene::search::MultiTermQuery,0,1,18,2,0,7,99,30,5.5,162,56,9,368.143,109.758,24,2,13,12,45,5,2,0,76,10,39,0,0,0,8,44,20,7.41088,0.0690403,0.0101588,0.17215,0.00135426
org::apache::lucene::search::NonMatchingScorer,0,0,2,0,0,2,7,6,3.5,6,5,3,193.286,80.0816,2,3,1,1,15,0,0,0,10,6,17,0,0,0,6,10,6,3.0742,0.0169033,0.00472009,0.0731342,0.00117257
org::apache::lucene::search::ParallelMultiSearcher,1,2,11,0,0,5,297,249,27,254,170,23.0909,246.143,15.5748,4,4,2,2,6,0,2,0,24,4,50,2,0,0,4,9,4,5.96744,0.0801905,0.0189968,0.164804,0.0503248
org::apache::lucene::search::PhrasePositions,0,2,6,1,0,5,46,15,7.66667,61,51,10.1667,368.143,178.556,5,1,3,2,10,0,7,0,35,5,9,0,0,7,0,14,8,2.6029,0.0115137,0.0057418,0.0681672,0.00340696
org::apache::lucene::search::PhraseQuery,0,4,27,6,0,9,352,113,13.037,216,51,8,368.143,127.543,28,2,20,9,55,0,5,0,90,11,39,5,0,0,10,54,28,9.68386,0.157584,0.130155,3.56135,0.262809
org::apache::lucene::search::PhraseQueue,0,2,4,1,0,4,26,13,6.5,58,51,14.5,368.143,195.225,2,2,1,1,1,0,0,1,16,2,19,0,0,0,0,3,4,2.6029,0.00923303,0.0057418,0.0681672,0.00340696
org::apache::lucene::search::PhraseScorer,0,2,18,3,0,8,322,120,17.8889,269,82,14.9444,368.143,125.349,8,3,1,7,78,2,9,0,107,13,17,4,3,0,6,44,33,2.6029,0.026718,0.0057418,0.0681672,0.00340696
org::apache::lucene::search::PrefixFilter,0,4,5,0,0,3,36,18,7.2,3,1,0.6,104.857,48.3968,6,2,1,5,10,0,2,0,18,5,21,1,0,0,5,14,5,5.88673,0.0345824,0.0187659,0.169599,0.0331881
org::apache::lucene::search::PrefixQuery,0,2,18,2,0,7,79,25,4.38889,140,51,7.77778,368.143,137.796,13,3,6,7,10,0,1,2,25,5,49,1,0,0,4,19,7,9.97613,0.0833865,0.0150425,0.236497,0.00393042
org::apache::lucene::search::PrefixTermEnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,4,6,0,2,0,18,4,24,2,0,0,2,12,6,0,0,0,0,0
org::apache::lucene::search::Query,0,0,27,9,0,8,316,91,11.7037,210,55,7.77778,368.143,102.066,103,1,99,7,66,16,1,0,84,12,27,1,0,0,11,49,23,8.85763,0.296282,0.0121526,0.205876,0.00150294
org::apache::lucene::search::QueryFilter,0,2,10,2,0,5,100,27,10,162,51,16.2,322.286,95.0971,2,3,0,2,3,0,0,2,9,3,27,0,0,0,3,6,3,4.50602,0.0508492,0.0085367,0.113095,0.00395799
org::apache::lucene::search::QueryTermVector,0,1,7,1,0,4,32,13,4.57143,106,51,15.1429,241.714,116.821,8,1,1,7,36,0,2,0,81,9,15,2,1,0,8,47,20,3.05437,0.0118909,0.0347885,0.136055,0.100458
